$10.00
On day 1, price is 9.55
On day 380, price is 727.68
On day 381, price is 796.93
On day 382, price is 767.43
On day 383, price is 762.81
On day 384, price is 759.43
On day 385, price is 743.69
On day 386, price is 812.43
On day 387, price is 775.83
On day 388, price is 797.41
On day 389, price is 799.13
On day 390, price is 848.32
On day 391, price is 834.08
On day 392, price is 908.57
On day 393, price is 865.49
On day 394, price is 948.41
On day 395, price is 1,035.54
